date,symbol,open,high,low,close,volume,amount,vwap
20200124,600000.XSHG,17.8900,18.0600,17.7300,17.8800,164800,2946624.0000,17.8800
20200125,000001.XSHE,11.9400,12.1900,11.8100,12.0400,130000,1565200.0000,12.0400
20200125,000002.XSHE,14.9700,15.1300,14.7800,14.9200,148000,2208160.0000,14.9200
20200125,600000.XSHG,18.0000,18.2500,17.8500,18.0800,166000,3001280.0000,18.0800
20200126,000001.XSHE,12.0500,12.3100,11.9200,12.1600,131200,1595392.0000,12.1600
20200126,000002.XSHE,15.0800,15.2400,14.9400,15.0800,149200,2249936.0000,15.0800
20200126,600000.XSHG,18.1100,18.2800,17.8500,18.0000,167200,3009600.0000,18.0000
20200127,000001.XSHE,12.1600,12.4300,12.0300,12.2800,132400,1625872.0000,12.2800
20200127,000002.XSHE,15.1900,15.4000,15.0500,15.2400,150400,2292096.0000,15.2400
20200127,600000.XSHG,18.2200,18.3900,18.0500,18.2000,168400,3064880.0000,18.2000
20200128,000001.XSHE,12.2700,12.4200,11.9900,12.1200,133600,1619232.0000,12.1200
20200128,000002.XSHE,15.3000,15.4600,14.9800,15.1200,151600,2292192.0000,15.1200
20200128,600000.XSHG,18.1800,18.3500,17.9700,18.1200,169600,3073152.0000,18.1200
20200129,000001.XSHE,12.3800,12.5300,12.1100,12.2400,134800,1649952.0000,12.2400
20200129,000002.XSHE,15.2600,15.4400,15.1200,15.2800,152800,2334784.0000,15.2800
20200129,600000.XSHG,18.2900,18.4900,18.1400,18.3200,170800,3129056.0000,18.3200
20200130,000001.XSHE,12.3400,12.5100,12.2100,12.3600,136000,1680960.0000,12.3600
20200130,000002.XSHE,15.3700,15.6000,15.2300,15.4400,154000,2377760.0000,15.4400
20200130,600000.XSHG,18.4000,18.6900,18.2500,18.5200,172000,3185440.0000,18.5200
20200131,000001.XSHE,12.4500,12.6300,12.3200,12.4800,137200,1712256.0000,12.4800
20200131,000002.XSHE,15.4800,15.7600,15.3400,15.6000,155200,2421120.0000,15.6000
20200131,600000.XSHG,18.5100,18.6800,18.2900,18.4400,173200,3193808.0000,18.4400
20200201,000001.XSHE,12.5600,12.7500,12.4300,12.6000,138400,1743840.0000,12.6000
20200201,000002.XSHE,15.5900,15.7500,15.3400,15.4800,156400,2421072.0000,15.4800
20200201,600000.XSHG,18.6200,18.8100,18.4700,18.6400,174400,3250816.0000,18.6400
20200202,000001.XSHE,12.6700,12.8700,12.5400,12.7200,139600,1775712.0000,12.7200
20200202,000002.XSHE,15.7000,15.8600,15.5000,15.6400,157600,2464864.0000,15.6400
20200202,600000.XSHG,18.5800,18.7500,18.4100,18.5600,175600,3259136.0000,18.5600
20200203,000001.XSHE,12.7800,12.9900,12.6500,12.8400,140800,1807872.0000,12.8400
20200203,000002.XSHE,15.6600,15.9600,15.5200,15.8000,158800,2509040.0000,15.8000
20200203,600000.XSHG,18.6900,18.9300,18.5400,18.7600,176800,3316768.0000,18.7600
20200204,000001.XSHE,12.7400,12.8900,12.5500,12.6800,142000,1800560.0000,12.6800
20200204,000002.XSHE,15.7700,15.9300,15.5400,15.6800,160000,2508800.0000,15.6800
20200204,600000.XSHG,18.8000,18.9700,18.5300,18.6800,178000,3325040.0000,18.6800
20200205,000001.XSHE,12.8500,13.0000,12.6700,12.8000,143200,1832960.0000,12.8000
20200205,000002.XSHE,15.8800,16.0400,15.7000,15.8400,161200,2553408.0000,15.8400
20200205,600000.XSHG,18.9100,19.0800,18.7300,18.8800,179200,3383296.0000,18.8800
20200206,000001.XSHE,12.9600,13.1100,12.7900,12.9200,144400,1865648.0000,12.9200
20200206,000002.XSHE,15.9900,16.1600,15.8500,16.0000,162400,2598400.0000,16.0000
20200206,600000.XSHG,19.0200,19.2500,18.8700,19.0800,180400,3442032.0000,19.0800
20200207,000001.XSHE,13.0700,13.2200,12.9100,13.0400,145600,1898624.0000,13.0400
20200207,000002.XSHE,16.1000,16.3200,15.9600,16.1600,163600,2643776.0000,16.1600
20200207,600000.XSHG,18.9800,19.1700,18.8300,19.0000,181600,3450400.0000,19.0000
20200208,000001.XSHE,13.1800,13.3300,13.0300,13.1600,146800,1931888.0000,13.1600
20200208,000002.XSHE,16.0600,16.2200,15.9000,16.0400,164800,2643392.0000,16.0400
20200208,600000.XSHG,19.0900,19.3700,18.9400,19.2000,182800,3509760.0000,19.2000
20200209,000001.XSHE,13.1400,13.4300,13.0100,13.2800,148000,1965440.0000,13.2800
20200209,000002.XSHE,16.1700,16.3600,16.0300,16.2000,166000,2689200.0000,16.2000
20200209,600000.XSHG,19.2000,19.3700,18.9700,19.1200,184000,3518080.0000,19.1200
20200210,000001.XSHE,13.2500,13.5500,13.1200,13.4000,149200,1999280.0000,13.4000
20200210,000002.XSHE,16.2800,16.5200,16.1400,16.3600,167200,2735392.0000,16.3600
20200210,600000.XSHG,19.3100,19.4900,19.1600,19.3200,185200,3578064.0000,19.3200
20200211,000001.XSHE,13.3600,13.5100,13.1100,13.2400,150400,1991296.0000,13.2400
20200211,000002.XSHE,16.3900,16.5500,16.1000,16.2400,168400,2734816.0000,16.2400
20200211,600000.XSHG,19.4200,19.5900,19.0900,19.2400,186400,3586336.0000,19.2400
20200212,000001.XSHE,13.4700,13.6200,13.2300,13.3600,151600,2025376.0000,13.3600
20200212,000002.XSHE,16.5000,16.6600,16.2600,16.4000,169600,2781440.0000,16.4000
20200212,600000.XSHG,19.3800,19.6100,19.2300,19.4400,187600,3646944.0000,19.4400
20200213,000001.XSHE,13.5800,13.7300,13.3500,13.4800,152800,2059744.0000,13.4800
20200213,000002.XSHE,16.4600,16.7200,16.3200,16.5600,170800,2828448.0000,16.5600
20200213,600000.XSHG,19.4900,19.8100,19.3400,19.6400,188800,3708032.0000,19.6400
20200214,000001.XSHE,13.5400,13.7500,13.4100,13.6000,154000,2094400.0000,13.6000
20200214,000002.XSHE,16.5700,16.8800,16.4300,16.7200,172000,2875840.0000,16.7200
20200214,600000.XSHG,19.6000,19.7700,19.4100,19.5600,190000,3716400.0000,19.5600
20200215,000001.XSHE,13.6500,13.8700,13.5200,13.7200,155200,2129344.0000,13.7200
20200215,000002.XSHE,16.6800,16.8400,16.4600,16.6000,173200,2875120.0000,16.6000
20200215,600000.XSHG,19.7100,19.9300,19.5600,19.7600,191200,3778112.0000,19.7600
20200216,000001.XSHE,13.7600,13.9900,13.6300,13.8400,156400,2164576.0000,13.8400
20200216,000002.XSHE,16.7900,16.9500,16.6200,16.7600,174400,2922944.0000,16.7600
20200216,600000.XSHG,19.8200,19.9900,19.5300,19.6800,192400,3786432.0000,19.6800
20200217,000001.XSHE,13.8700,14.1100,13.7400,13.9600,157600,2200096.0000,13.9600
20200217,000002.XSHE,16.9000,17.0800,16.7600,16.9200,175600,2971152.0000,16.9200
20200217,600000.XSHG,19.7800,20.0500,19.6300,19.8800,193600,3848768.0000,19.8800
20200218,000001.XSHE,13.9800,14.1300,13.6700,13.8000,158800,2191440.0000,13.8000
20200218,000002.XSHE,16.8600,17.0200,16.6600,16.8000,176800,2970240.0000,16.8000
20200218,600000.XSHG,19.8900,20.0600,19.6500,19.8000,194800,3857040.0000,19.8000
20200219,000001.XSHE,13.9400,14.0900,13.7900,13.9200,160000,2227200.0000,13.9200
20200219,000002.XSHE,16.9700,17.1300,16.8200,16.9600,178000,3018880.0000,16.9600
20200219,600000.XSHG,20.0000,20.1700,19.8500,20.0000,196000,3920000.0000,20.0000
20200220,000001.XSHE,14.0500,14.2000,13.9100,14.0400,161200,2263248.0000,14.0400
20200220,000002.XSHE,17.0800,17.2800,16.9400,17.1200,179200,3067904.0000,17.1200
20200220,600000.XSHG,20.1100,20.3700,19.9600,20.2000,197200,3983440.0000,20.2000
20200221,000001.XSHE,14.1600,14.3100,14.0300,14.1600,162400,2299584.0000,14.1600
20200221,000002.XSHE,17.1900,17.4400,17.0500,17.2800,180400,3117312.0000,17.2800
20200221,600000.XSHG,20.2200,20.3900,19.9700,20.1200,198400,3991808.0000,20.1200
20200222,000001.XSHE,14.2700,14.4300,14.1400,14.2800,163600,2336208.0000,14.2800
20200222,000002.XSHE,17.3000,17.4600,17.0200,17.1600,181600,3116256.0000,17.1600
20200222,600000.XSHG,20.1800,20.4900,20.0300,20.3200,199600,4055872.0000,20.3200
20200223,000001.XSHE,14.3800,14.5500,14.2500,14.4000,164800,2373120.0000,14.4000
20200223,000002.XSHE,17.2600,17.4800,17.1200,17.3200,182800,3166096.0000,17.3200
20200223,600000.XSHG,20.2900,20.4600,20.0900,20.2400,200800,4064192.0000,20.2400
20200224,000001.XSHE,14.3400,14.6700,14.2100,14.5200,166000,2410320.0000,14.5200
20200224,000002.XSHE,17.3700,17.6400,17.2300,17.4800,184000,3216320.0000,17.4800
20200224,600000.XSHG,20.4000,20.6100,20.2500,20.4400,202000,4128880.0000,20.4400
20200225,000001.XSHE,14.4500,14.6000,14.2300,14.3600,167200,2400992.0000,14.3600
20200225,000002.XSHE,17.4800,17.6400,17.2200,17.3600,185200,3215072.0000,17.3600
20200225,600000.XSHG,20.5100,20.6800,20.2100,20.3600,203200,4137152.0000,20.3600
20200226,000001.XSHE,14.5600,14.7100,14.3500,14.4800,168400,2438432.0000,14.4800
20200226,000002.XSHE,17.5900,17.7500,17.3800,17.5200,186400,3265728.0000,17.5200
20200226,600000.XSHG,20.6200,20.7900,20.4100,20.5600,204400,4202464.0000,20.5600
20200227,000001.XSHE,14.6700,14.8200,14.4700,14.6000,169600,2476160.0000,14.6000
20200227,000002.XSHE,17.7000,17.8600,17.5400,17.6800,187600,3316768.0000,17.6800
20200227,600000.XSHG,20.5800,20.9300,20.4300,20.7600,205600,4268256.0000,20.7600
20200228,000001.XSHE,14.7800,14.9300,14.5900,14.7200,170800,2514176.0000,14.7200
20200228,000002.XSHE,17.6600,18.0000,17.5200,17.8400,188800,3368192.0000,17.8400
20200228,600000.XSHG,20.6900,20.8600,20.5300,20.6800,206800,4276624.0000,20.6800
20200229,000001.XSHE,14.7400,14.9900,14.6100,14.8400,172000,2552480.0000,14.8400
20200229,000002.XSHE,17.7700,17.9300,17.5800,17.7200,190000,3366800.0000,17.7200
20200229,600000.XSHG,20.8000,21.0500,20.6500,20.8800,208000,4343040.0000,20.8800
20200301,000001.XSHE,14.8500,15.1100,14.7200,14.9600,173200,2591072.0000,14.9600
20200301,000002.XSHE,17.8800,18.0400,17.7400,17.8800,191200,3418656.0000,17.8800
20200301,600000.XSHG,20.9100,21.0800,20.6500,20.8000,209200,4351360.0000,20.8000
20200302,000001.XSHE,14.9600,15.2300,14.8300,15.0800,174400,2629952.0000,15.0800
20200302,000002.XSHE,17.9900,18.2000,17.8500,18.0400,192400,3470896.0000,18.0400
20200302,600000.XSHG,21.0200,21.1900,20.8500,21.0000,210400,4418400.0000,21.0000
20200303,000001.XSHE,15.0700,15.2200,14.7900,14.9200,175600,2619952.0000,14.9200
20200303,000002.XSHE,18.1000,18.2600,17.7800,17.9200,193600,3469312.0000,17.9200
20200303,600000.XSHG,20.9800,21.1500,20.7700,20.9200,211600,4426672.0000,20.9200
20200304,000001.XSHE,15.1800,15.3300,14.9100,15.0400,176800,2659072.0000,15.0400
20200304,000002.XSHE,18.0600,18.2400,17.9200,18.0800,194800,3521984.0000,18.0800
20200304,600000.XSHG,21.0900,21.2900,20.9400,21.1200,212800,4494336.0000,21.1200
20200305,000001.XSHE,15.1400,15.3100,15.0100,15.1600,178000,2698480.0000,15.1600
20200305,000002.XSHE,18.1700,18.4000,18.0300,18.2400,196000,3575040.0000,18.2400
20200305,600000.XSHG,21.2000,21.4900,21.0500,21.3200,214000,4562480.0000,21.3200
20200306,000001.XSHE,15.2500,15.4300,15.1200,15.2800,179200,2738176.0000,15.2800
20200306,000002.XSHE,18.2800,18.5600,18.1400,18.4000,197200,3628480.0000,18.4000
20200306,600000.XSHG,21.3100,21.4800,21.0900,21.2400,215200,4570848.0000,21.2400
20200307,000001.XSHE,15.3600,15.5500,15.2300,15.4000,180400,2778160.0000,15.4000
20200307,000002.XSHE,18.3900,18.5500,18.1400,18.2800,198400,3626752.0000,18.2800
20200307,600000.XSHG,21.4200,21.6100,21.2700,21.4400,216400,4639616.0000,21.4400
20200308,000001.XSHE,15.4700,15.6700,15.3400,15.5200,181600,2818432.0000,15.5200
20200308,000002.XSHE,18.5000,18.6600,18.3000,18.4400,199600,3680624.0000,18.4400
20200308,600000.XSHG,21.3800,21.5500,21.2100,21.3600,217600,4647936.0000,21.3600
20200309,000001.XSHE,15.5800,15.7900,15.4500,15.6400,182800,2858992.0000,15.6400
20200309,000002.XSHE,18.4600,18.7600,18.3200,18.6000,200800,3734880.0000,18.6000
20200309,600000.XSHG,21.4900,21.7300,21.3400,21.5600,218800,4717328.0000,21.5600
20200310,000001.XSHE,15.5400,15.6900,15.3500,15.4800,184000,2848320.0000,15.4800
20200310,000002.XSHE,18.5700,18.7300,18.3400,18.4800,202000,3732960.0000,18.4800
20200310,600000.XSHG,21.6000,21.7700,21.3300,21.4800,220000,4725600.0000,21.4800
20200311,000001.XSHE,15.6500,15.8000,15.4700,15.6000,185200,2889120.0000,15.6000
20200311,000002.XSHE,18.6800,18.8400,18.5000,18.6400,203200,3787648.0000,18.6400
20200311,600000.XSHG,21.7100,21.8800,21.5300,21.6800,221200,4795616.0000,21.6800
20200312,000001.XSHE,15.7600,15.9100,15.5900,15.7200,186400,2930208.0000,15.7200
20200312,000002.XSHE,18.7900,18.9600,18.6500,18.8000,204400,3842720.0000,18.8000
20200312,600000.XSHG,21.8200,22.0500,21.6700,21.8800,222400,4866112.0000,21.8800
20200313,000001.XSHE,15.8700,16.0200,15.7100,15.8400,187600,2971584.0000,15.8400
20200313,000002.XSHE,18.9000,19.1200,18.7600,18.9600,205600,3898176.0000,18.9600
20200313,600000.XSHG,21.7800,21.9700,21.6300,21.8000,223600,4874480.0000,21.8000
20200314,000001.XSHE,15.9800,16.1300,15.8300,15.9600,188800,3013248.0000,15.9600
20200314,000002.XSHE,18.8600,19.0200,18.7000,18.8400,206800,3896112.0000,18.8400
20200314,600000.XSHG,21.8900,22.1700,21.7400,22.0000,224800,4945600.0000,22.0000
20200315,000001.XSHE,15.9400,16.2300,15.8100,16.0800,190000,3055200.0000,16.0800
20200315,000002.XSHE,18.9700,19.1600,18.8300,19.0000,208000,3952000.0000,19.0000
20200315,600000.XSHG,22.0000,22.1700,21.7700,21.9200,226000,4953920.0000,21.9200
20200316,000001.XSHE,16.0500,16.3500,15.9200,16.2000,191200,3097440.0000,16.2000
20200316,000002.XSHE,19.0800,19.3200,18.9400,19.1600,209200,4008272.0000,19.1600
20200316,600000.XSHG,22.1100,22.2900,21.9600,22.1200,227200,5025664.0000,22.1200
20200317,000001.XSHE,16.1600,16.3100,15.9100,16.0400,192400,3086096.0000,16.0400
20200317,000002.XSHE,19.1900,19.3500,18.9000,19.0400,210400,4006016.0000,19.0400
20200317,600000.XSHG,22.2200,22.3900,21.8900,22.0400,228400,5033936.0000,22.0400
20200318,000001.XSHE,16.2700,16.4200,16.0300,16.1600,193600,3128576.0000,16.1600
20200318,000002.XSHE,19.3000,19.4600,19.0600,19.2000,211600,4062720.0000,19.2000
20200318,600000.XSHG,22.1800,22.4100,22.0300,22.2400,229600,5106304.0000,22.2400
20200319,000001.XSHE,16.3800,16.5300,16.1500,16.2800,194800,3171344.0000,16.2800
20200319,000002.XSHE,19.2600,19.5200,19.1200,19.3600,212800,4119808.0000,19.3600
20200319,600000.XSHG,22.2900,22.6100,22.1400,22.4400,230800,5179152.0000,22.4400
20200320,000001.XSHE,16.3400,16.5500,16.2100,16.4000,196000,3214400.0000,16.4000
20200320,000002.XSHE,19.3700,19.6800,19.2300,19.5200,214000,4177280.0000,19.5200
20200320,600000.XSHG,22.4000,22.5700,22.2100,22.3600,232000,5187520.0000,22.3600
